GEOID20,precinct,block_percent
410510069002002,2701,0.9999999999743764
410510069002007,2701,0.7547526429988535
410510069002000,2701,0.998017316004561
410510068011019,2701,0.9966008323669798
410510068011022,2701,0.9967600733135498
410510069002006,2701,0.9656180193471777
410510069002018,2701,1
410510069002017,2701,0.9867701949468161
410510069001056,2701,0.9785885708536786
410510069002004,2701,0.9861854505123105
410510069002010,2701,0.9981521455347118
410510069001049,2701,0.9930204492734789
410510069002009,2701,0.9946196412028488
410510069001055,2701,0.9987583443293083
410510069002022,2701,0.9927300480381991
410510069002001,2701,0.9999999999577905
410510068011020,2701,1
410510069002021,2701,0.875506381038832
410510069002024,2701,0.9932459791443679
410510069002019,2701,0.9911502195059627
410510069002012,2701,0.9977908825881752
410510069002008,2701,0.9999999999859444
410510069001048,2701,0.9904366410678327
410510068011021,2701,1
410510069002016,2702,0.9999969709551424
410510069002028,2702,0.984807799484705
410510069001061,2702,1.0000000000000675
410510069002013,2702,0.9998291188847386
410510068011004,2702,0.9979330688610987
410510069001053,2702,1
410510069002029,2702,0.9869404821609256
410510069002025,2702,0.9643608449141006
410510069002011,2702,0.998576348259267
410510069001062,2702,0.9895580185805473
410510069001052,2702,0.9920304454680694
410510069002030,2702,0.9638525237773333
410510069001054,2702,0.9359079285130893
410510068011003,2702,0.9942512162506113
410510068011006,2702,0.9939491142913177
410510068011009,2702,0.9840694439649541
410510069002020,2702,0.9843914561143577
410510069002014,2702,0.9992873652961571
410510069002031,2702,1
410510069002023,2702,0.9210970885025259
410510069002027,2702,0.9664394369421451
410510068011005,2702,0.9928134284925553
410510069002005,2702,0.9221143526016059
410510069002015,2702,0.9999999999936042
410510069002003,2702,0.9875118295354505
410510071001025,3101,0.9680703910137222
410510070023030,3101,1
410510070011000,3101,0.9941636827145165
410510043001044,3101,1.0000000004584944
410510043001004,3101,1
410510070023001,3101,0.9999999999993274
410510043001056,3101,0.9999999999919192
410510043001052,3101,1.0000000000002336
410510043001085,3101,0.999836408315558
410510043001087,3101,1.0000000000011438
410510070022036,3101,0.9746666079165454
410510070022028,3101,1
410510043001042,3101,1.0000000000009555
410510043001021,3101,1
410510043001125,3101,1
410510070022013,3101,0.9999999999961446
410510043001068,3101,0.999231297194208
410510071003033,3101,0.9941294452183987
410510071003043,3101,0.9966665007403567
410510043001034,3101,0.9999999999990092
410510043001046,3101,0.9999999999978954
410510043001061,3101,1
410510043001028,3101,0.9999999999969644
410510070022024,3101,0.9991869871415063
410510070011004,3101,0.9969046147144506
410510043001036,3101,0.9999999999994206
410510043001002,3101,1.0000000000012959
410510043001045,3101,0.9999999999979867
410510043001001,3101,1.0000000000005778
410510043001018,3101,1
410510043001069,3101,0.9997040904185264
410510043001033,3101,0.9998591653453892
410510043001038,3101,1.0000000000005764
410510043001049,3101,0.9999999999991322
410510043001054,3101,0.9999999999993276
410510070023016,3101,0.9965169358184318
410510043001072,3101,0.99589304917788
410510070023035,3101,0.9996722889366052
410510070023027,3101,0.9979879466396957
410510070023029,3101,1
410510070023014,3101,0.8555883041357383
410510070023017,3101,0.9999243483801017
410510070023000,3101,0.9988513904589591
410510070022015,3101,0.9978159401042652
410510070022014,3101,1.0000000000005098
410510043001059,3101,0.9999999999951277
410510043001067,3101,0.9962635261608164
410510043001047,3101,1.0000000000010223
410510043001041,3101,0.9999999999964525
410510043001089,3101,1.0000000000000315
410510043001093,3101,1.0000000000007334
410510043001065,3101,0.9999999999989604
410510043001057,3101,1.0000000000106108
410510043001127,3101,1
410510043001032,3101,0.965751549370542
410510043001005,3101,1
410510043001048,3101,0.9999999999984983
410510043001029,3101,1
410510070022012,3101,0.9999999999999585
410510070022023,3101,0.999666243866683
410510043001063,3101,1.0000000000144322
410510043001092,3101,0.9991276760424658
410510043001086,3101,0.9999999999938933
410510070022011,3101,0.9999988039747265
410510043001003,3101,1.000000000000494
410510043001060,3101,1.0000000000005906
410510043001090,3101,1.0000000000004048
410510043001040,3101,1.0000000000070441
410510043001010,3101,0.999999999999344
410510043001058,3101,0.9999999999983611
410510043001064,3101,1.0000000000008527
410510043001050,3101,0.9999999999951341
410510043001000,3101,0.9969215923661525
410510043001035,3101,1.0000000000021787
410510043001039,3101,0.9999999996328227
410510043001037,3101,0.9999999999999063
410510070022010,3101,0.9545229264804926
410510043001062,3101,1.0000000000014002
410510043001017,3101,1.0000000000380336
410510043001020,3101,1.0000000000003733
410510043001126,3101,1
410510043001023,3101,1
410510043001024,3101,0.9999999999995234
410510043001031,3101,1.0000000000029532
410510043001019,3101,1.00000000002895
410510043001026,3101,1
410510043001043,3101,0.9999999999990868
410510043001066,3101,0.9964896604006791
410510043001094,3101,1.000000000000063
410510043001016,3101,0.9995093407311886
410510071001026,3101,0.998382472735028
410510043001088,3101,1.000000000039644
410510043001022,3101,1
410510043001051,3101,0.9999999999879547
410510043001055,3101,1
410510043001053,3101,1
410510070023020,3102,0.9994957836672205
410510071003045,3102,1.0000000000022202
410510071002012,3102,1.0000000000007965
410510071002013,3102,0.9995616967994885
410510070023012,3102,0.9999999999985097
410510070023013,3102,0.9995568602282245
410510070023032,3102,1
410510070023022,3102,0.9999999999993057
410510070023021,3102,1.0000000000002638
410510071002022,3102,1
410510071003012,3102,0.9999999999896986
410510070023034,3102,0.9999999999958571
410510071003032,3102,0.9999346098091804
410510071003020,3102,1.0000000000060165
410510071003047,3102,0.9999999999528404
410510071003018,3102,0.9999999999944214
410510071003040,3102,1.000000000005236
410510071003046,3102,0.6839289856006892
410510071003038,3102,1.0000000000318297
